,intent,statement,response
222,check_weather,Give me the weather update for NaN tonight.,Weather data for NaN is not accessible.
223,check_weather,What's the humidity level in NaN next week?,Humidity information for NaN is not provided.
224,check_weather,Tell me if it will be rainy in NaN next Wednesday.,Weather forecast for NaN is not provided.
225,get_directions,How do I get from NaN to the airport?,Directions from NaN to the airport are not available.
226,get_directions,What's the best way to go from NaN to downtown?,Directions from NaN to downtown are not provided.
227,get_directions,Tell me the route from NaN to the nearest mall.,Directions from NaN to the nearest mall are not accessible.
228,get_directions,How can I reach NaN from my current location?,Directions from your current location to NaN are not available.
229,get_directions,Give me the directions from NaN to the train station.,Directions from NaN to the train station are not provided.
230,get_directions,What's the fastest way to go from NaN to the city center?,Directions from NaN to the city center are not accessible.
231,get_directions,Tell me the route to NaN from my home.,Directions from your home to NaN are not available.
232,get_directions,How do I get from NaN to the nearest restaurant?,Directions from NaN to the nearest restaurant are not provided.
233,get_directions,What's the best way to reach NaN from the airport?,Directions from the airport to NaN are not accessible.
234,get_directions,Tell me the route from NaN to the shopping center.,Directions from NaN to the shopping center are not available.
235,get_directions,How can I go to NaN from downtown?,Directions from downtown to NaN are not provided.
236,get_directions,Give me the directions from NaN to my workplace.,Directions from NaN to your workplace are not accessible.
237,get_directions,What's the fastest route to go from NaN to the beach?,Directions from NaN to the beach are not available.
238,get_directions,Tell me how to reach NaN from the bus station.,Directions from the bus station to NaN are not provided.
239,get_directions,How do I get from NaN to the nearest park?,Directions from NaN to the nearest park are not accessible.
240,get_directions,What's the best way to go to NaN from the train station?,Directions from the train station to NaN are not available.
241,get_directions,Tell me the route from NaN to my friend's house.,Directions from NaN to your friend's house are not provided.
242,get_directions,How can I reach NaN from the city center?,Directions from the city center to NaN are not accessible.
243,get_directions,Give me the directions from NaN to the museum.,Directions from NaN to the museum are not available.
244,get_directions,What's the fastest way to go from NaN to the airport?,Directions from NaN to the airport are not provided.
245,get_directions,Tell me the route to NaN from the shopping mall.,Directions from the shopping mall to NaN are not accessible.
246,get_directions,How do I get from NaN to my favorite restaurant?,Directions from NaN to your favorite restaurant are not available.
247,get_directions,What's the best way to reach NaN from downtown?,Directions from downtown to NaN are not provided.
248,get_directions,Tell me the route from NaN to the airport.,Directions from NaN to the airport are not accessible.
249,get_directions,How can I go to NaN from my workplace?,Directions from your workplace to NaN are not available.
250,get_directions,Give me the directions from NaN to the nearest gas station.,Directions from NaN to the nearest gas station are not provided.
251,get_directions,What's the fastest route to go from NaN to the mall?,Directions from NaN to the mall are not accessible.
252,get_directions,Tell me how to reach NaN from the train station.,Directions from the train station to NaN are not available.
253,get_directions,How do I get from NaN to the nearest park?,Directions from NaN to the nearest park are not provided.
254,get_directions,What's the best way to go to NaN from the bus stop?,Directions from the bus stop to NaN are not accessible.
255,get_directions,Tell me the route from NaN to my office.,Directions from NaN to your office are not available.
256,get_directions,How can I reach NaN from the city center?,Directions from the city center to NaN are not provided.
257,get_directions,Give me the directions from NaN to the stadium.,Directions from NaN to the stadium are not accessible.
258,get_directions,What's the fastest way to go from NaN to the train station?,Directions from NaN to the train station are not available.
259,get_directions,Tell me the route to NaN from my friend's house.,Directions from your friend's house to NaN are not provided.
260,open_app,Open NaN app.,Opening NaN app.
261,open_app,Launch the NaN application.,The NaN application is launching.
262,open_app,Start NaN on my device.,NaN has been started on your device.
263,open_app,Run the NaN app.,Running the NaN app.
264,open_app,Access the NaN application.,You can now access the NaN application.
265,open_app,Launch NaN on my device.,NaN is launching on your device.
266,open_app,Open the NaN app.,The NaN app is opening.
267,open_app,Start the NaN application.,Starting the NaN application.
268,open_app,Run NaN on my device.,NaN is running on your device.
269,open_app,Access the NaN app.,You now have access to the NaN app.
270,open_app,Launch NaN app.,NaN app is launching.
271,open_app,Start NaN on my device.,NaN has been started on your device.
272,open_app,Run the NaN application.,Running the NaN application.
273,open_app,Access the NaN app.,You can now access the NaN app.
274,open_app,Launch NaN on my device.,Launching NaN on your device.
275,open_app,Open the NaN application.,The NaN application is opening.
276,open_app,Start the NaN app.,Starting the NaN app.
277,open_app,Run NaN on my device.,Running NaN on your device.
278,open_app,Access the NaN application.,You now have access to the NaN application.
279,open_app,Launch NaN app.,NaN app is launching.
280,open_app,Start NaN on my device.,NaN has been started on your device.
281,open_app,Run the NaN application.,Running the NaN application.
282,open_app,Access the NaN app.,You can now access the NaN app.
283,open_app,Launch NaN on my device.,Launching NaN on your device.
284,open_app,Open the NaN application.,The NaN application is opening.
285,open_app,Start the NaN app.,Starting the NaN app.
286,open_app,Run NaN on my device.,Running NaN on your device.
287,open_app,Access the NaN application.,You now have access to the NaN application.
288,open_app,Launch NaN app.,NaN app is launching.
289,open_app,Start NaN on my device.,NaN has been started on your device.
290,open_app,Run the NaN application.,Running the NaN application.
291,open_app,Access the NaN app.,You can now access the NaN app.
292,open_app,Launch NaN on my device.,Launching NaN on your device.
293,open_app,Open the NaN application.,The NaN application is opening.
294,open_app,Start the NaN app.,Starting the NaN app.
295,open_app,Run NaN on my device.,Running NaN on your device.
296,open_app,Access the NaN application.,You now have access to the NaN application.
297,open_app,Launch NaN app.,NaN app is launching.
298,open_app,Start NaN on my device.,NaN has been started on your device.
299,open_app,Run the NaN application.,Running the NaN application.
300,open_app,Access the NaN app.,You can now access the NaN app.
301,open_app,Launch NaN on my device.,Launching NaN on your device.
302,open_app,Open the NaN application.,The NaN application is opening.
303,open_app,Start the NaN app.,Starting the NaN app.
304,open_app,Run NaN on my device.,Running NaN on your device.
305,open_app,Access the NaN application.,You now have access to the NaN application.
306,open_app,Launch NaN app.,NaN app is launching.
307,open_app,Start NaN on my device.,NaN has been started on your device.
308,open_app,Run the NaN application.,Running the NaN application.
309,open_app,Access the NaN app.,You can now access the NaN app.
310,open_app,Launch NaN on my device.,Launching NaN on your device.
311,open_app,Open the NaN application.,The NaN application is opening.
312,open_app,Start the NaN app.,Starting the NaN app.
313,open_app,Run NaN on my device.,Running NaN on your device.
314,open_app,Access the NaN application.,You now have access to the NaN application.
315,open_app,Launch NaN app.,NaN app is launching.
316,open_app,Start NaN on my device.,NaN has been started on your device.
317,open_app,Run the NaN application.,Running the NaN application.
318,open_app,Access the NaN app.,You can now access the NaN app.
319,open_app,Launch NaN on my device.,Launching NaN on your device.
320,open_app,Open the NaN application.,The NaN application is opening.
321,open_app,Start the NaN app.,Starting the NaN app.
322,open_app,Run NaN on my device.,Running NaN on your device.
323,open_app,Access the NaN application.,You now have access to the NaN application.
324,open_app,Launch NaN app.,NaN app is launching.
325,open_app,Start NaN on my device.,NaN has been started on your device.
326,open_app,Run the NaN application.,Running the NaN application.
327,open_app,Access the NaN app.,You can now access the NaN app.
328,open_app,Launch NaN on my device.,Launching NaN on your device.
329,open_app,Open the NaN application.,The NaN application is opening.
330,open_app,Start the NaN app.,Starting the NaN app.
331,open_app,Run NaN on my device.,Running NaN on your device.
332,open_app,Access the NaN application.,You now have access to the NaN application.
333,open_app,Launch NaN app.,NaN app is launching.
334,open_app,Start NaN on my device.,NaN has been started on your device.
335,open_app,Run the NaN application.,Running the NaN application.
336,open_app,Access the NaN app.,You can now access the NaN app.
337,open_app,Launch NaN on my device.,Launching NaN on your device.
338,open_app,Open the NaN application.,The NaN application is opening.
339,open_app,Start the NaN app.,Starting the NaN app.
340,open_app,Run NaN on my device.,Running NaN on your device.
341,open_app,Access the NaN application.,You now have access to the NaN application.
342,open_app,Launch NaN app.,NaN app is launching.
343,open_app,Start NaN on my device.,NaN has been started on your device.
344,open_app,Run the NaN application.,Running the NaN application.
345,open_app,Access the NaN app.,You can now access the NaN app.
346,open_app,Launch NaN on my device.,Launching NaN on your device.
347,open_app,Open the NaN application.,The NaN application is opening.
348,open_app,Start the NaN app.,Starting the NaN app.
349,open_app,Run NaN on my device.,Running NaN on your device.
350,open_app,Access the NaN application.,You now have access to the NaN application.
351,set_alarm,Set an alarm.,Alarm has been set.
352,set_alarm,Create a new alarm.,New alarm created.
353,set_alarm,Set an alarm for NaN.,Alarm set for NaN.
354,set_alarm,Create an alarm for NaN.,Alarm created for NaN.
355,set_alarm,Set NaN as the alarm time.,Alarm set for NaN.
356,set_alarm,Create an alarm at NaN.,Alarm created at NaN.
357,set_alarm,Set the alarm to NaN.,Alarm set to NaN.
358,set_alarm,Create an alarm for NaN.,Alarm created for NaN.
359,set_alarm,Set an alarm for NaN o'clock.,Alarm set for NaN o'clock.
360,set_alarm,Create a new alarm at NaN.,New alarm created at NaN.
361,set_alarm,Set the alarm for NaN hours.,Alarm set for NaN hours.
362,set_alarm,Create an alarm for NaN minutes.,Alarm created for NaN minutes.
363,set_alarm,Set the alarm at NaN o'clock.,Alarm set at NaN o'clock.
364,set_alarm,Create a new alarm for NaN.,New alarm created for NaN.
365,set_alarm,Set an alarm at NaN hours.,Alarm set at NaN hours.
366,set_alarm,Create an alarm for NaN seconds.,Alarm created for NaN seconds.
367,set_alarm,Set the alarm to NaN minutes.,Alarm set to NaN minutes.
368,set_alarm,Create a new alarm for NaN.,New alarm created for NaN.
369,set_alarm,Set an alarm for NaN o'clock.,Alarm set for NaN o'clock.
370,set_alarm,Create a new alarm at NaN.,New alarm created at NaN.
371,set_alarm,Set the alarm for NaN hours.,Alarm set for NaN hours.
372,set_alarm,Create an alarm for NaN minutes.,Alarm created for NaN minutes.
373,set_alarm,Set the alarm at NaN o'clock.,Alarm set at NaN o'clock.
374,set_alarm,Create a new alarm for NaN.,New alarm created for NaN.
375,set_alarm,Set an alarm at NaN hours.,Alarm set at NaN hours.
376,set_alarm,Create an alarm for NaN seconds.,Alarm created for NaN seconds.
377,set_alarm,Set the alarm to NaN minutes.,Alarm set to NaN minutes.
378,set_alarm,Create a new alarm for NaN.,New alarm created for NaN.
379,set_alarm,Set an alarm for NaN o'clock.,Alarm set for NaN o'clock.
380,set_alarm,Create a new alarm at NaN.,New alarm created at NaN.
381,set_alarm,Set the alarm for NaN hours.,Alarm set for NaN hours.
382,set_alarm,Create an alarm for NaN minutes.,Alarm created for NaN minutes.
383,set_alarm,Set the alarm at NaN o'clock.,Alarm set at NaN o'clock.
384,set_alarm,Create a new alarm for NaN.,New alarm created for NaN.
385,set_alarm,Set an alarm at NaN hours.,Alarm set at NaN hours.
386,set_alarm,Create an alarm for NaN seconds.,Alarm created for NaN seconds.
387,set_alarm,Set the alarm to NaN minutes.,Alarm set to NaN minutes.
388,set_alarm,Create a new alarm for NaN.,New alarm created for NaN.
389,set_alarm,Set an alarm for NaN o'clock.,Alarm set for NaN o'clock.
390,set_alarm,Create a new alarm at NaN.,New alarm created at NaN.
391,set_alarm,Set the alarm for NaN hours.,Alarm set for NaN hours.
392,set_alarm,Create an alarm for NaN minutes.,Alarm created for NaN minutes.
393,set_alarm,Set the alarm at NaN o'clock.,Alarm set at NaN o'clock.
394,set_alarm,Create a new alarm for NaN.,New alarm created for NaN.
395,set_alarm,Set an alarm at NaN hours.,Alarm set at NaN hours.
396,set_alarm,Create an alarm for NaN seconds.,Alarm created for NaN seconds.
397,set_alarm,Set the alarm to NaN minutes.,Alarm set to NaN minutes.
398,send_message,Send a NaN to John.,Message sent to John.
399,send_message,Text NaN to Alice.,Message sent to Alice.
400,send_message,Send a message to NaN.,Message sent.
401,send_message,Text NaN saying hello.,Message sent.
402,send_message,Send a NaN to Bob.,Message sent to Bob.
403,send_message,Text NaN to Sarah.,Message sent to Sarah.
404,send_message,Send a message to NaN.,Message sent.
405,send_message,Text NaN saying hi.,Message sent.
406,send_message,Send a NaN to David.,Message sent to David.
407,send_message,Text NaN to Emily.,Message sent to Emily.
408,send_message,Send a message to NaN.,Message sent.
409,send_message,Text NaN saying hey.,Message sent.
410,send_message,Send a NaN to Alex.,Message sent to Alex.
411,send_message,Text NaN to Olivia.,Message sent to Olivia.
412,send_message,Send a message to NaN.,Message sent.
413,send_message,Text NaN saying hi there.,Message sent.
414,send_message,Send a NaN to Max.,Message sent to Max.
415,send_message,Text NaN to Lily.,Message sent to Lily.
416,send_message,Send a message to NaN.,Message sent.
417,send_message,Text NaN saying how are you?,Message sent.
418,send_message,Send a NaN to Lucy.,Message sent to Lucy.
419,send_message,Text NaN to Daniel.,Message sent to Daniel.
420,send_message,Send a message to NaN.,Message sent.
421,send_message,Text NaN saying good morning.,Message sent.
422,send_message,Send a NaN to Mia.,Message sent to Mia.
423,send_message,Text NaN to Ethan.,Message sent to Ethan.
424,send_message,Send a message to NaN.,Message sent.
425,send_message,Text NaN saying how's it going?,Message sent.
426,send_message,Send a NaN to Ava.,Message sent to Ava.
427,send_message,Text NaN to Benjamin.,Message sent to Benjamin.
428,send_message,Send a message to NaN.,Message sent.
429,send_message,Text NaN saying good evening.,Message sent.
430,send_message,Send a NaN to Sophia.,Message sent to Sophia.
431,send_message,Text NaN to James.,Message sent to James.
432,send_message,Send a message to NaN.,Message sent.
433,send_message,Text NaN saying what's up?,Message sent.
434,send_message,Send a NaN to Charlotte.,Message sent to Charlotte.
435,send_message,Text NaN to William.,Message sent to William.
436,send_message,Send a message to NaN.,Message sent.
437,send_message,Text NaN saying good night.,Message sent.
438,send_message,Send a NaN to Harper.,Message sent to Harper.
439,send_message,Text NaN to Michael.,Message sent to Michael.
440,send_message,Send a message to NaN.,Message sent.
441,send_message,Text NaN saying have a nice day.,Message sent.
442,send_message,Send a NaN to Evelyn.,Message sent to Evelyn.
443,send_message,Text NaN to Alexander.,Message sent to Alexander.
444,send_message,Send a message to NaN.,Message sent.
445,send_message,Text NaN saying take care.,Message sent.
446,send_email,Send an email with subject NaN.,Email sent successfully.
447,send_email,Email NaN with the following message.,Email sent successfully.
448,send_email,Send an email to NaN.,Email sent successfully.
449,send_email,Email NaN saying hello.,Email sent successfully.
450,send_email,Send an email to NaN.,Email sent successfully.
451,send_email,Email NaN with the following message.,Email sent successfully.
452,send_email,Send an email to NaN.,Email sent successfully.
453,send_email,Email NaN saying hi.,Email sent successfully.
454,send_email,Send an email to NaN.,Email sent successfully.
455,send_email,Email NaN with the following message.,Email sent successfully.
456,send_email,Send an email to NaN.,Email sent successfully.
457,send_email,Email NaN saying hey.,Email sent successfully.
458,send_email,Send an email to NaN.,Email sent successfully.
459,send_email,Email NaN with the following message.,Email sent successfully.
460,send_email,Send an email to NaN.,Email sent successfully.
461,send_email,Email NaN saying hi there.,Email sent successfully.
462,send_email,Send an email to NaN.,Email sent successfully.
463,send_email,Email NaN with the following message.,Email sent successfully.
464,send_email,Send an email to NaN.,Email sent successfully.
465,send_email,Email NaN saying how are you?,Email sent successfully.
466,send_email,Send an email to NaN.,Email sent successfully.
467,send_email,Email NaN with the following message.,Email sent successfully.
468,send_email,Send an email to NaN.,Email sent successfully.
469,send_email,Email NaN saying good morning.,Email sent successfully.
470,send_email,Send an email to NaN.,Email sent successfully.
471,send_email,Email NaN with the following message.,Email sent successfully.
472,send_email,Send an email to NaN.,Email sent successfully.
473,send_email,Email NaN saying good afternoon.,Email sent successfully.
474,send_email,Send an email to NaN.,Email sent successfully.
475,send_email,Email NaN with the following message.,Email sent successfully.
476,send_email,Send an email to NaN.,Email sent successfully.
477,send_email,Email NaN saying how's it going?,Email sent successfully.
478,send_email,Send an email to NaN.,Email sent successfully.
479,set_timer,Set a timer for NaN minutes.,Timer set for NaN minutes.
480,set_timer,Can you set a timer for NaN seconds?,"Sure, timer set for NaN seconds."
481,set_timer,I need to set a timer for NaN hours.,Timer successfully set for NaN hours.
482,set_timer,Please set a timer for NaN minutes.,Timer has been set for NaN minutes.
483,set_timer,I want to set a timer for NaN seconds.,Timer is set for NaN seconds.
484,set_timer,"Set a timer for NaN hours, please.",Timer has been set for NaN hours.
485,set_timer,Can you set a timer for NaN minutes?,"Sure, timer set for NaN minutes."
486,set_timer,I need to set a timer for NaN seconds.,Timer successfully set for NaN seconds.
487,set_timer,Please set a timer for NaN hours.,Timer has been set for NaN hours.
488,set_timer,"I want to set a timer for NaN minutes, please.",Timer is set for NaN minutes.
